Player,BattingOrder,Position,Team,Opponent,Game.ID,X1B.Ump,X2B.Ump,X3B.Ump,HP.Ump,H.A,Precipitation,Sky,Stadium,Temperature,Wind.Direction,Wind.Speed,PitchHand,HomeRun
Aaron Judge,2,DH,NYY,BAL,NYA201804080,Ron Kulpa,Ed Hickox,Jerry Meals,Ben May,H,No Precipitation,Cloudy,Yankee Stadium III,42,from Left to Right,11,(L),0
Anthony Rizzo,4,1B,CHC,MIN,CHN201806300,Chris Guccione,Larry Vanover,David Rackley,Hunter Wendelstedt,H,No Precipitation,Cloudy,Wrigley Field,91,from Right to Left,8,(R),0
Josh Reddick,8,RF,HOU,CLE,CLE201907310,Vic Carapazza,Hunter Wendelstedt,Laz Diaz,Chris Segal,A,No Precipitation,Night,Progressive Field,76,in from Centerfield,9,(R),0
Enrique Hernandez,1,CF-2B,LAD,SDP,SDN201905040,Ramon De Jesus,Stu Scheurwater,Jim Reynolds,Alan Porter,A,No Precipitation,Night,Petco Park,66,from Left to Right,11,(L),0
Luis Guillorme,NA,PH,NYM,COL,COL201806190,Lance Barrett,Adam Hamari,Tony Randazzo,Bill Welke,A,No Precipitation,Overcast,Coors Field,60,in from Centerfield,11,(L),0
Mitch Garver,9,C,MIN,BAL,MIN201807060,Nick Mahrley,Jordan Baker,Jerry Layne,Vic Carapazza,H,No Precipitation,Night,Target Field,81,in from Rightfield,8,(R),0
Max Kepler,1,CF,MIN,KCR,KCA201906210,Jerry Meals,Tom Woodring,Gabe Morales,Marty Foster,A,No Precipitation,Overcast,Kauffman Stadium,80,from Right to Left,9,(L),0
Yuli Gurriel,7,1B,HOU,CLE,CLE201908010,Hunter Wendelstedt,Laz Diaz,Chris Segal,Vic Carapazza,A,No Precipitation,Night,Progressive Field,78,in from Rightfield,9,(R),0
Chris Herrmann,8,C,SEA,COL,COL201807140,Laz Diaz,Manny Gonzalez,Jansen Visconti,Jeff Nelson,A,No Precipitation,Night,Coors Field,93,out to Leftfield,10,(L),0
Marcus Semien,1,SS,OAK,LAA,ANA201808110,Stu Scheurwater,Cory Blaser,Chris Segal,Eric Cooper,A,No Precipitation,Night,Angel Stadium of Anaheim,87,out to Rightfield,8,(R),1
George Springer,1,DH,HOU,SEA,SEA201904120,Jordan Baker,Todd Tichenor,Phil Cuzzi,Adam Hamari,A,No Precipitation,Cloudy,T-Mobile Park,56,out to Rightfield,1,(L),1
Mark Melancon,NA,P,ATL,CHW,ATL201909010,Jordan Baker,Brian Knight,Pat Hoberg,Greg Gibson,H,No Precipitation,Cloudy,SunTrust Park,86,from Left to Right,6,(R),0
Andrew Knizner,NA,PH-C,STL,SFG,SLN201909050,Jeff Nelson,Laz Diaz,Jansen Visconti,Cory Blaser,H,No Precipitation,Cloudy,Busch Stadium III,76,from Left to Right,4,(R),0
Tommy Pham,8,CF,STL,CIN,SLN201807140,Shane Livensparger,Jim Reynolds,John Tumpane,Chris Guccione,H,No Precipitation,Cloudy,Busch Stadium III,97,out to Rightfield,5,(R),0
Matt Andriese,NA,P,ARI,LAD,LAN201903290,Tripp Gibson,No Umpire,Nic Lentz,Brian Gorman,A,No Precipitation,Night,Dodger Stadium,64,from Left to Right,1,(L),0
Kirby Yates,NA,P,SDP,MIL,SDN201803300,Brian Knight,Pat Hoberg,Gerry Davis,Mark Carlson,H,No Precipitation,Cloudy,Petco Park,63,from Left to Right,7,(L),0
Joe Musgrove,NA,PH,PIT,MIL,PIT201907050,Jordan Baker,DJ Reyburn,Fieldin Culbreth,Chris Conroy,H,No Precipitation,Cloudy,PNC Park,80,from Right to Left,3,(L),0
Rhys Hoskins,2,LF-1B,PHI,NYM,PHI201809180,Sean Barber,Manny Gonzalez,Jeff Nelson,Laz Diaz,H,No Precipitation,Night,Citizens Bank Park,75,from Right to Left,7,(R),0
Nick Pivetta,NA,P,PHI,CHW,PHI201908020,Tim Timmons,Mike Muchlinski,Mike Winters,Rob Drake,H,No Precipitation,Cloudy,Citizens Bank Park,80,out to Centerfield,11,(L),0
Tucker Barnhart,7,1B,CIN,CHC,CHN201808260,Chris Guccione,Larry Vanover,Ben May,David Rackley,A,No Precipitation,Cloudy,Wrigley Field,93,out to Rightfield,7,(R),0
Manny Machado,3,SS,LAD,STL,LAN201808200,Jim Wolf,Chad Fairchild,DJ Reyburn,Sam Holbrook,H,No Precipitation,Night,Dodger Stadium,77,out to Centerfield,5,(L),0
Joe Biagini,NA,P,TOR,BOS,BOS201906230,Tom Hallion,Adam Hamari,Todd Tichenor,Phil Cuzzi,A,No Precipitation,Sunny,Fenway Park,84,from Left to Right,12,(R),0
Derek Law,NA,P,TOR,TBR,TOR201909280,Jeff Nelson,Adam Hamari,Laz Diaz,Tony Randazzo,H,No Precipitation,Cloudy,Rogers Centre,64,in from Centerfield,7,(R),0
Chance Sisco,9,C,BAL,LAA,ANA201805010,Roberto Ortiz,Brian Gorman,Dan Iassogna,Mike DiMuro,A,No Precipitation,Overcast,Angel Stadium of Anaheim,59,out to Rightfield,4,(R),0
Marwin Gonzalez,5,3B-RF,MIN,TEX,TEX201908180,Gerry Davis,Brian Knight,Pat Hoberg,Greg Gibson,A,No Precipitation,Sunny,Globe Life Park in Arlington,95,in from Rightfield,10,(L),0
Brandon Workman,NA,P,BOS,TEX,BOS201906130,Hunter Wendelstedt,Angel Hernandez,Vic Carapazza,Jordan Baker,H,No Precipitation,Cloudy,Fenway Park,56,in from Rightfield,10,(L),0
Zack Britton,NA,P,NYY,BOS,NYA201809180,Chris Guccione,Kerwin Danley,Mike Estabrook,Chad Fairchild,H,No Precipitation,Cloudy,Yankee Stadium III,72,out to Rightfield,5,(L),0
Jake Diekman,NA,P,KCR,CLE,KCA201907020,Gerry Davis,Brian Knight,Brennan Miller,Pat Hoberg,H,No Precipitation,Night,Kauffman Stadium,90,from Right to Left,8,(R),0
Yangervis Solarte,8,2B,SFG,LAD,SFN201905010,Rob Drake,Mike Muchlinski,Mike Winters,Tim Timmons,H,No Precipitation,Night,Oracle Park,58,out to Centerfield,15,(L),0
Tommy Edman,1,3B,STL,PIT,PIT201907230,Alfonso Marquez,Chad Fairchild,Mike Estabrook,Bruce Dreckman,A,No Precipitation,Cloudy,PNC Park,77,from Right to Left,8,(R),0
Juan Soto,4,LF,WSN,MIA,WAS201908310,Chad Fairchild,Mike Everitt,Lance Barrett,Nic Lentz,H,No Precipitation,Cloudy,Nationals Park,84,from Right to Left,9,(R),1
Dominic Leone,NA,P,STL,MIL,SLN201804100,Bill Welke,Tony Randazzo,Lance Barrett,Nic Lentz,H,No Precipitation,Night,Busch Stadium III,51,out to Centerfield,5,(R),0
Brandon Nimmo,1,CF-LF,NYM,CIN,CIN201909220,Tom Hallion,Mark Ripperger,James Hoye,Shane Livensparger,A,No Precipitation,Sunny,Great American Ball Park,84,from Right to Left,9,(R),1
Michael Brantley,4,LF,HOU,LAA,ANA201907160,Mark Wegner,Alan Porter,Jim Reynolds,Stu Scheurwater,A,No Precipitation,Night,Angel Stadium of Anaheim,74,out to Leftfield,8,(R),0
Anthony Rendon,3,3B,WSN,KCR,WAS201907070,Ted Barrett,Nic Lentz,John Tumpane,Lance Barksdale,H,No Precipitation,Cloudy,Nationals Park,82,in from Rightfield,1,(L),0
Cam Bedrosian,NA,P,LAA,TOR,ANA201905010,Scott Barry,Brian Gorman,Tripp Gibson,Mark Carlson,H,No Precipitation,Night,Angel Stadium of Anaheim,66,from Right to Left,8,(R),0
Harrison Musgrave,NA,P,COL,MIA,COL201806230,Jeff Nelson,Tom Woodring,Scott Barry,Carlos Torres,H,No Precipitation,Cloudy,Coors Field,82,out to Leftfield,3,(L),0
Tyler Bashlor,NA,P,NYM,PHI,NYN201807100,Dan Bellino,Tom Hallion,Adam Hamari,Phil Cuzzi,H,No Precipitation,Night,Citi Field,89,out to Centerfield,9,(R),0
Andrew Toles,NA,LF,LAD,COL,LAN201809170,Bill Welke,Tony Randazzo,Mark Carlson,Lance Barrett,H,No Precipitation,Night,Dodger Stadium,74,out to Centerfield,4,(L),0
Joe Panik,8,2B,SFG,PIT,PIT201904210,Ted Barrett,Kerwin Danley,Lance Barksdale,John Tumpane,A,No Precipitation,Cloudy,PNC Park,51,out to Leftfield,7,(R),0
Matt Grace,NA,P,WSN,SFG,WAS201806080,Scott Barry,Carlos Torres,Paul Nauert,Kerwin Danley,H,No Precipitation,Cloudy,Nationals Park,84,out to Leftfield,2,(R),0
Jake Bauers,6,1B,CLE,TOR,TOR201907240,DJ Reyburn,Paul Nauert,Nick Mahrley,Fieldin Culbreth,A,No Precipitation,Cloudy,Rogers Centre,77,in from Centerfield,4,(R),0
Greg Garcia,9,2B,SDP,COL,COL201906130,Mike Everitt,Bill Welke,Lance Barrett,Chris Guccione,A,No Precipitation,Overcast,Coors Field,82,from Left to Right,7,(L),0
Jesmuel Valentin,NA,PH,PHI,LAD,LAN201805300,Will Little,Ted Barrett,Kerwin Danley,Tom Woodring,A,No Precipitation,Cloudy,Dodger Stadium,66,from Left to Right,4,(R),0
Colin Poche,NA,P,TBR,LAD,LAN201909180,Todd Tichenor,Alex Tosi,Gary Cederstrom,Adrian Johnson,A,No Precipitation,Night,Dodger Stadium,80,out to Centerfield,10,(L),0
Michael Lorenzen,NA,P,CIN,PIT,PIT201806150,Mike Muchlinski,Tim Timmons,Rob Drake,Mike Winters,A,No Precipitation,Night,PNC Park,77,out to Leftfield,8,(R),0
Jorge Alfaro,6,C,MIA,PHI,PHI201904250,Nic Lentz,Jim Wolf,Dan Iassogna,Mike Estabrook,A,No Precipitation,Cloudy,Citizens Bank Park,64,out to Leftfield,6,(L),0
Adam Cimber,NA,P,CLE,DET,CLE201909170,Ben May,Tom Hallion,Phil Cuzzi,Adam Hamari,H,No Precipitation,Night,Progressive Field,73,in from Rightfield,12,(R),0
Max Kepler,1,CF,MIN,TEX,TEX201908180,Gerry Davis,Brian Knight,Pat Hoberg,Greg Gibson,A,No Precipitation,Sunny,Globe Life Park in Arlington,95,in from Rightfield,10,(L),0
Robert Gsellman,NA,P,NYM,SDP,SDN201804290,Joe West,Doug Eddings,Marty Foster,Mark Ripperger,A,No Precipitation,Cloudy,Petco Park,65,from Left to Right,14,(R),0
John Gant,9,P,STL,CHC,SLN201807290,Jerry Layne,Jordan Baker,Greg Gibson,Vic Carapazza,H,No Precipitation,Overcast,Busch Stadium III,67,from Right to Left,7,(R),0
Michael Wacha,9,P,STL,CIN,SLN201804200,Chris Guccione,David Rackley,Larry Vanover,Mark Carlson,H,No Precipitation,Cloudy,Busch Stadium III,60,from Right to Left,10,(R),0
Nick Williams,NA,PH,PHI,NYM,NYN201904240,Jansen Visconti,Mark Carlson,Scott Barry,Brian Gorman,A,No Precipitation,Night,Citi Field,66,from Left to Right,12,(R),0
Zach Duke,NA,P,CIN,PIT,CIN201903280,Eric Cooper,Andy Fletcher,Will Little,Joe West,H,No Precipitation,Cloudy,Great American Ball Park,70,from Right to Left,15,(R),0
JaCoby Jones,1,CF,DET,CLE,CLE201906230,Quinn Wolcott,Marvin Hudson,Roberto Ortiz,Adrian Johnson,A,No Precipitation,Sunny,Progressive Field,73,from Right to Left,7,(L),1
Tyler Webb,NA,P,STL,LAD,SLN201904110,Jansen Visconti,Doug Eddings,Chris Conroy,Bill Miller,H,No Precipitation,Cloudy,Busch Stadium III,74,from Right to Left,16,(R),0
Jason Hammel,NA,P,KCR,CIN,KCA201806130,Andy Fletcher,Jeff Nelson,Laz Diaz,Manny Gonzalez,H,No Precipitation,Cloudy,Kauffman Stadium,82,from Right to Left,11,(R),0
Sam Dyson,NA,P,SFG,SDP,SFN201806240,Gerry Davis,Brian Knight,Pat Hoberg,Nic Lentz,H,No Precipitation,Cloudy,AT&T Park,72,out to Centerfield,13,(R),0
Eduardo Escobar,4,3B,MIN,CIN,MIN201804290,Lance Barksdale,Will Little,Tom Woodring,Ted Barrett,H,No Precipitation,Sunny,Target Field,61,from Right to Left,15,(R),0
J.D. Martinez,4,DH,BOS,TOR,BOS201907160,Lance Barrett,Chris Guccione,Roberto Ortiz,Dan Iassogna,H,No Precipitation,Cloudy,Fenway Park,84,out to Centerfield,8,(R),0
Scott Oberg,NA,P,COL,SFG,SFN201906240,Jansen Visconti,Jordan Baker,Phil Cuzzi,Vic Carapazza,A,No Precipitation,Cloudy,Oracle Park,61,out to Centerfield,17,(R),0
Mike Foltynewicz,NA,P,ATL,MIN,MIN201908060,Jeremie Rehak,Hunter Wendelstedt,Laz Diaz,Vic Carapazza,A,No Precipitation,Cloudy,Target Field,83,from Right to Left,9,(R),0
Pablo Reyes,NA,RF,PIT,CIN,PIT201904060,Jeff Kellogg,Brian O'Nora,James Hoye,Mark Ripperger,H,No Precipitation,Cloudy,PNC Park,65,in from Centerfield,3,(R),0
Oscar Mercado,2,CF,CLE,KCR,CLE201906260,Dan Iassogna,Tim Timmons,Rob Drake,Mike Muchlinski,H,No Precipitation,Sunny,Progressive Field,76,from Left to Right,12,(R),0
Paul Sewald,NA,P,NYM,ATL,NYN201808050,Stu Scheurwater,Cory Blaser,Gary Cederstrom,Chris Segal,H,No Precipitation,Sunny,Citi Field,91,out to Rightfield,6,(R),0
Gio Gonzalez,9,P,WSN,PIT,PIT201807110,Chris Segal,Gabe Morales,Ed Hickox,Jerry Meals,A,No Precipitation,Sunny,PNC Park,78,in from Centerfield,5,(L),0
Wilmer Flores,5,1B,NYM,WSN,NYN201807150,Bill Miller,John Libka,Alan Porter,Marvin Hudson,H,No Precipitation,Cloudy,Citi Field,77,out to Centerfield,9,(R),0
Victor Robles,8,CF,WSN,MIA,WAS201907040,Tripp Gibson,Chris Segal,Chris Guccione,Mark Carlson,H,No Precipitation,Cloudy,Nationals Park,91,in from Rightfield,2,(R),0
Carlos Santana,3,1B,CLE,BAL,BAL201906280,Will Little,Joe West,Eric Cooper,Andy Fletcher,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,88,out to Leftfield,7,(R),0
Kyle Barraclough,NA,P,SFG,BOS,BOS201909170,Eric Cooper,Sean Barber,Will Little,Joe West,A,No Precipitation,Cloudy,Fenway Park,63,in from Rightfield,9,(R),0
Adrian Beltre,4,3B,TEX,SDP,TEX201806260,Bill Welke,Lance Barrett,Tony Randazzo,John Libka,H,No Precipitation,Night,Globe Life Park in Arlington,98,from Right to Left,12,(R),0
Mark Melancon,NA,P,SFG,SDP,SDN201807300,Mark Carlson,Bruce Dreckman,Tom Woodring,Mike Estabrook,A,No Precipitation,Night,Petco Park,78,from Left to Right,12,(L),0
Ian Kinsler,NA,PH,SDP,PHI,SDN201906050,John Tumpane,Ramon De Jesus,Lance Barksdale,Ted Barrett,H,No Precipitation,Overcast,Petco Park,66,out to Rightfield,6,(R),0
Warwick Saupold,NA,P,DET,CLE,DET201805140,Roberto Ortiz,Ed Hickox,Jerry Meals,Gabe Morales,H,No Precipitation,Cloudy,Comerica Park,75,from Right to Left,8,(R),0
Denard Span,7,LF,SEA,SFG,SEA201807240,Scott Barry,Paul Nauert,Ramon De Jesus,Carlos Torres,H,No Precipitation,Night,Safeco Field,83,out to Centerfield,1,(L),0
Robert Stock,NA,P,SDP,SFG,SDN201809190,Chad Whitson,Mark Ripperger,Doug Eddings,Joe West,H,No Precipitation,Night,Petco Park,72,from Left to Right,10,(L),0
Jacob deGrom,9,P,NYM,MIN,NYN201904090,Mike Winters,Tim Timmons,Rob Drake,Mike Muchlinski,H,No Precipitation,Cloudy,Citi Field,46,in from Rightfield,10,(R),0
Miguel Rojas,1,SS,MIA,LAD,LAN201907190,Stu Scheurwater,Mark Wegner,Alan Porter,Jim Reynolds,A,No Precipitation,Night,Dodger Stadium,72,out to Centerfield,6,(R),0
Enrique Hernandez,1,2B-LF-2B,LAD,CHC,CHN201904230,Chad Whitson,Lance Barksdale,John Tumpane,Ted Barrett,A,No Precipitation,Cloudy,Wrigley Field,52,from Right to Left,3,(R),0
Reese McGuire,5,C,TOR,BAL,BAL201909180,Dan Bellino,Roberto Ortiz,Larry Vanover,Alfonso Marquez,A,No Precipitation,Cloudy,Oriole Park at Camden Yards,73,in from Rightfield,8,(R),0
Yangervis Solarte,4,SS,TOR,PHI,PHI201805270,Mark Ripperger,Joe West,Doug Eddings,Tim Timmons,A,No Precipitation,Cloudy,Citizens Bank Park,68,from Right to Left,11,(L),0
Nick Wittgren,NA,P,MIA,CIN,CIN201805060,Brian Knight,Gerry Davis,Pat Hoberg,Mark Carlson,A,No Precipitation,Sunny,Great American Ball Park,79,out to Leftfield,4,(R),0
Matt Adams,5,1B,WSN,NYM,NYN201807130,Alan Porter,Marvin Hudson,Bill Miller,John Libka,A,No Precipitation,Night,Citi Field,79,out to Leftfield,13,(R),1
CC Sabathia,NA,P,NYY,TEX,TEX201805230,Mark Carlson,Pat Hoberg,Tim Timmons,Nic Lentz,A,No Precipitation,Cloudy,Globe Life Park in Arlington,91,in from Centerfield,11,(L),0
Ian Happ,5,RF-LF,CHC,PIT,CHN201809260,Jim Wolf,Alfonso Marquez,DJ Reyburn,Sam Holbrook,H,No Precipitation,Cloudy,Wrigley Field,63,from Left to Right,3,(L),0
Mike Moustakas,5,2B-3B,MIL,CHC,CHN201908040,Kerwin Danley,John Tumpane,Lance Barksdale,John Bacon,A,No Precipitation,Sunny,Wrigley Field,80,in from Centerfield,8,(R),0
Delino DeShields,1,CF,TEX,DET,TEX201805070,Bill Miller,Angel Hernandez,Todd Tichenor,Alan Porter,H,No Precipitation,Night,Globe Life Park in Arlington,91,in from Centerfield,11,(L),0
Kurt Suzuki,6,C,WSN,COL,WAS201907241,Chad Whitson,Gabe Morales,Jerry Meals,Ron Kulpa,H,No Precipitation,Cloudy,Nationals Park,82,in from Leftfield,9,(R),0
Paul DeJong,3,SS,STL,ARI,SLN201907130,Adam Hamari,Todd Tichenor,Tom Hallion,John Libka,H,No Precipitation,Night,Busch Stadium III,90,in from Rightfield,5,(R),0
Chris Iannetta,NA,PH,COL,SFG,COL201908030,Ben May,Phil Cuzzi,Todd Tichenor,Adam Hamari,H,No Precipitation,Cloudy,Coors Field,94,out to Centerfield,2,(R),0
Ramon Laureano,8,CF,OAK,SEA,OAK201905240,Lance Barrett,Chris Guccione,Mike Everitt,Bill Welke,H,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,58,from Left to Right,14,(R),0
Aaron Altherr,9,LF,NYM,KCR,KCA201908170,Ron Kulpa,Gabe Morales,Jerry Meals,John Libka,A,No Precipitation,Night,Kauffman Stadium,88,from Right to Left,10,(R),0
Bryce Harper,3,RF,WSN,NYM,WAS201804080,Joe West,Doug Eddings,Marty Foster,Mark Ripperger,H,No Precipitation,Night,Nationals Park,47,in from Leftfield,11,(R),1
Cam Gallagher,8,C,KCR,CHW,KCA201906080,Paul Emmel,Mike Estabrook,Chad Fairchild,Bruce Dreckman,H,No Precipitation,Sunny,Kauffman Stadium,86,in from Rightfield,9,(R),0
Hunter Dozier,7,3B,KCR,SEA,KCA201904100,Marvin Hudson,Quinn Wolcott,Gary Cederstrom,Ramon De Jesus,H,No Precipitation,Cloudy,Kauffman Stadium,82,out to Leftfield,13,(R),1
Joey Gallo,6,LF,TEX,KCR,TEX201805260,Chad Whitson,Quinn Wolcott,Jeff Kellogg,Marvin Hudson,H,No Precipitation,Cloudy,Globe Life Park in Arlington,97,in from Centerfield,7,(R),0
Tucker Barnhart,6,1B,CIN,MIL,MIL201808220,Hunter Wendelstedt,Adrian Johnson,Tripp Gibson,Ryan Additon,A,No Precipitation,Sunny,Miller Park,75,out to Centerfield,11,(R),0
Yonder Alonso,5,1B,CLE,KCR,KCA201807040,Fieldin Culbreth,CB Bucknor,Chris Conroy,Brian O'Nora,A,No Precipitation,Night,Kauffman Stadium,92,from Right to Left,10,(R),0
Robbie Grossman,9,RF,MIN,OAK,MIN201808240,Mike Winters,Jansen Visconti,Tim Timmons,Mike Muchlinski,H,No Precipitation,Cloudy,Target Field,66,in from Centerfield,9,(R),0
Yolmer Sanchez,9,2B,CHW,KCR,CHA201904150,Eric Cooper,Jansen Visconti,Will Little,Joe West,H,No Precipitation,Cloudy,Guaranteed Rate Field,47,from Right to Left,9,(R),0
Jon Berti,9,2B,TOR,HOU,TOR201809260,Chad Fairchild,Kerwin Danley,Mike Estabrook,Bruce Dreckman,H,No Precipitation,Cloudy,Rogers Centre,66,from Left to Right,16,(R),0
Kenley Jansen,NA,P,LAD,CIN,LAN201904170,Dana DeMuth,Angel Hernandez,Ed Hickox,Nick Mahrley,H,No Precipitation,Sunny,Dodger Stadium,73,from Left to Right,4,(R),0
Billy Hamilton,9,CF-RF,CIN,CHC,CHN201807080,Brian Gorman,Mike Muchlinski,Adrian Johnson,Tripp Gibson,A,No Precipitation,Sunny,Wrigley Field,81,in from Rightfield,11,(R),0
Mark Canha,6,CF,OAK,SDP,OAK201807030,Rob Drake,Chad Whitson,Mike Winters,Tim Timmons,H,No Precipitation,Night,Oakland-Alameda County Coliseum,70,out to Rightfield,11,(R),1
Roman Quinn,6,CF,PHI,CHC,PHI201908140,Gabe Morales,Jerry Meals,Marty Foster,Ron Kulpa,H,No Precipitation,Cloudy,Citizens Bank Park,80,out to Leftfield,7,(R),0
Nick Ahmed,7,SS,ARI,SDP,SDN201905220,Gabe Morales,Marty Foster,Jerry Meals,Ron Kulpa,A,No Precipitation,Cloudy,Petco Park,64,from Left to Right,15,(R),0
Scott Oberg,NA,P,COL,ARI,COL201807120,Tim Timmons,Adam Hamari,Chad Whitson,Mike Winters,H,No Precipitation,Cloudy,Coors Field,81,in from Rightfield,6,(L),0
Daniel Hudson,NA,P,TOR,CLE,TOR201907240,DJ Reyburn,Paul Nauert,Nick Mahrley,Fieldin Culbreth,H,No Precipitation,Cloudy,Rogers Centre,77,in from Centerfield,4,(R),0
Derek Holland,NA,P,SFG,STL,SFN201907050,Mike Everitt,Roberto Ortiz,Lance Barrett,Alfonso Marquez,H,No Precipitation,Cloudy,Oracle Park,61,out to Centerfield,17,(L),0
Ryan Cordell,9,RF,CHW,KCR,KCA201906070,Bruce Dreckman,Paul Emmel,Mike Estabrook,Chad Fairchild,A,No Precipitation,Cloudy,Kauffman Stadium,86,from Right to Left,9,(R),0
Tim Hill,NA,P,KCR,CHW,KCA201809120,Lance Barrett,Bill Welke,Tony Randazzo,Ryan Additon,H,No Precipitation,Night,Kauffman Stadium,76,from Right to Left,8,(L),0
Marco Hernandez,NA,PH,BOS,COL,COL201908270,Jerry Meals,Gabe Morales,Phil Cuzzi,Jansen Visconti,A,No Precipitation,Night,Coors Field,74,in from Rightfield,9,(R),0
Anibal Sanchez,9,P,WSN,ATL,WAS201907310,Todd Tichenor,Adam Hamari,Ben May,Phil Cuzzi,H,No Precipitation,Cloudy,Nationals Park,82,from Left to Right,6,(R),0
Neil Walker,7,2B,NYY,CHW,CHA201808080,Angel Hernandez,Bruce Dreckman,Chad Fairchild,Mike Estabrook,A,No Precipitation,Cloudy,Guaranteed Rate Field,79,in from Leftfield,6,(R),0
Sam Travis,6,LF,BOS,TBR,BOS201908010,Rob Drake,Tim Timmons,Sean Barber,Mike Winters,H,No Precipitation,Night,Fenway Park,86,in from Centerfield,10,(R),0
Nick Vincent,NA,P,SFG,ARI,SFN201905240,Mark Ripperger,Tom Woodring,Brian O'Nora,James Hoye,H,No Precipitation,Cloudy,Oracle Park,57,out to Centerfield,15,(L),0
Freddy Galvis,6,SS,SDP,LAD,LAN201805260,Brian O'Nora,CB Bucknor,Chris Conroy,Brian Knight,A,No Precipitation,Cloudy,Dodger Stadium,66,in from Leftfield,6,(R),1
Mallex Smith,NA,PH,SEA,HOU,SEA201904140,Phil Cuzzi,Adam Hamari,Jordan Baker,Todd Tichenor,H,No Precipitation,Cloudy,T-Mobile Park,50,from Right to Left,1,(L),0
Daniel Zamora,NA,P,NYM,ATL,NYN201909290,Vic Carapazza,Mark Wegner,Stu Scheurwater,Alan Porter,H,No Precipitation,Sunny,Citi Field,78,in from Leftfield,13,(R),0
Hunter Wood,NA,P,CLE,BOS,CLE201908120,John Bacon,Ted Barrett,John Tumpane,Lance Barksdale,H,No Precipitation,Cloudy,Progressive Field,78,out to Centerfield,6,(R),0
Nomar Mazara,4,RF,TEX,OAK,OAK201904220,Joe West,Eric Cooper,Andy Fletcher,Will Little,A,No Precipitation,Cloudy,Oakland-Alameda County Coliseum,70,out to Rightfield,8,(L),0
Dawel Lugo,7,3B,DET,CLE,CLE201909170,Ben May,Tom Hallion,Phil Cuzzi,Adam Hamari,A,No Precipitation,Night,Progressive Field,73,in from Rightfield,12,(R),1
Pierce Johnson,NA,P,SFG,COL,SFN201805170,Brian O'Nora,CB Bucknor,Chris Conroy,Chris Segal,H,No Precipitation,Cloudy,AT&T Park,58,out to Centerfield,18,(R),0
Matt Barnes,NA,P,BOS,TOR,BOS201805300,Jansen Visconti,Jordan Baker,Vic Carapazza,Jerry Layne,H,No Precipitation,Cloudy,Fenway Park,65,from Right to Left,13,(L),0
Jose Peraza,2,SS,CIN,KCR,KCA201806130,Andy Fletcher,Jeff Nelson,Laz Diaz,Manny Gonzalez,A,No Precipitation,Cloudy,Kauffman Stadium,82,from Right to Left,11,(R),0
Touki Toussaint,NA,P,ATL,PIT,ATL201906130,Brian Gorman,Mark Carlson,Jansen Visconti,Tripp Gibson,H,No Precipitation,Sunny,SunTrust Park,74,from Right to Left,15,(R),0
Chi Chi Gonzalez,9,P,COL,SDP,SDN201908100,Brian Knight,Pat Hoberg,Greg Gibson,Gerry Davis,A,No Precipitation,Cloudy,Petco Park,73,from Left to Right,10,(R),0
Chad Bettis,NA,P,COL,LAD,COL201809070,Laz Diaz,Nick Mahrley,Jeff Nelson,Andy Fletcher,H,No Precipitation,Cloudy,Coors Field,74,out to Leftfield,5,(R),0
Jose Ramirez,5,3B,CLE,BAL,CLE201905170,Mike Estabrook,Bruce Dreckman,Chad Fairchild,Paul Emmel,H,No Precipitation,Cloudy,Progressive Field,55,in from Rightfield,7,(R),0
Alex Claudio,NA,P,MIL,TEX,MIL201908110,Jim Reynolds,Stu Scheurwater,Alan Porter,Mark Wegner,H,No Precipitation,Cloudy,Miller Park,77,from Right to Left,7,(R),0
Archie Bradley,NA,P,ARI,MIL,MIL201908250,Chris Guccione,Ryan Blakney,Mike Everitt,Lance Barrett,A,No Precipitation,Cloudy,Miller Park,72,in from Leftfield,13,(L),0
Devin Mesoraco,5,C,NYM,PIT,NYN201806250,Fieldin Culbreth,CB Bucknor,Chris Conroy,Brian O'Nora,H,No Precipitation,Cloudy,Citi Field,79,in from Leftfield,9,(R),0
Tayron Guerrero,NA,P,MIA,ARI,ARI201806010,Kerwin Danley,Tom Woodring,Will Little,Ted Barrett,A,No Precipitation,Night,Chase Field,89,from Left to Right,8,(R),0
Brandon Dixon,2,2B,CIN,STL,CIN201807230,James Hoye,Jeff Kellogg,Quinn Wolcott,Marvin Hudson,H,No Precipitation,Cloudy,Great American Ball Park,77,out to Centerfield,3,(R),0
Chris Archer,NA,P,TBR,MIN,MIN201807140,Ryan Additon,Quinn Wolcott,Jeff Kellogg,James Hoye,A,No Precipitation,Cloudy,Target Field,85,from Right to Left,6,(R),0
