Player,BattingOrder,Position,Team,Opponent,Game.ID,X1B.Ump,X2B.Ump,X3B.Ump,HP.Ump,H.A,Precipitation,Sky,Stadium,Temperature,Wind.Direction,Wind.Speed,PitchHand,HomeRun
Adam Jones,2,CF,BAL,CHW,CHA201805240,Jeremie Rehak,Bill Miller,Todd Tichenor,Alan Porter,A,No Precipitation,Sunny,Guaranteed Rate Field,82,in from Leftfield,6,(R),1
Gregory Polanco,3,RF,PIT,PHI,PIT201807060,Roberto Ortiz,Mike Estabrook,Chad Fairchild,Alfonso Marquez,H,No Precipitation,Night,PNC Park,75,out to Rightfield,11,(R),0
Miguel Sano,6,3B,MIN,OAK,MIN201808250,Jansen Visconti,Tim Timmons,Mike Muchlinski,Mike Winters,H,No Precipitation,Night,Target Field,77,out to Leftfield,5,(L),1
Mike Foltynewicz,9,P,ATL,SFG,SFN201809110,John Tumpane,Jeremie Rehak,Mark Wegner,Jim Reynolds,A,No Precipitation,Night,AT&T Park,62,out to Centerfield,15,(R),0
Mitch Garver,1,C,MIN,KCR,MIN201908030,Jansen Visconti,Will Little,Joe West,Andy Fletcher,H,No Precipitation,Cloudy,Target Field,75,out to Leftfield,6,(R),0
Yoenis Cespedes,2,LF,NYM,STL,NYN201803290,Brian O'Nora,CB Bucknor,Chris Conroy,Fieldin Culbreth,H,No Precipitation,Cloudy,Citi Field,50,from Right to Left,9,(R),0
Ian Kinsler,1,2B,LAA,SEA,SEA201805040,DJ Reyburn,Sam Holbrook,Ryan Blakney,Jim Wolf,A,No Precipitation,Cloudy,Safeco Field,61,in from Centerfield,2,(R),0
Didi Gregorius,6,SS,NYY,BAL,BAL201806020,Mike Muchlinski,Tim Timmons,Rob Drake,Mike Winters,A,Rain,Overcast,Oriole Park at Camden Yards,76,in from Leftfield,6,(R),0
Justin Bour,3,1B,LAA,TEX,TEX201904170,Gerry Davis,Greg Gibson,Carlos Torres,Jeremie Rehak,A,No Precipitation,Night,Globe Life Park in Arlington,80,in from Rightfield,14,(R),0
Madison Bumgarner,9,P,SFG,PIT,PIT201904190,Lance Barksdale,John Tumpane,Ted Barrett,Kerwin Danley,A,Rain,Overcast,PNC Park,63,out to Leftfield,3,(L),0
Aledmys Diaz,9,SS,TOR,BAL,BAL201804100,Quinn Wolcott,Jeff Kellogg,Chris Segal,Marvin Hudson,A,No Precipitation,Night,Oriole Park at Camden Yards,49,from Left to Right,11,(R),0
Brett Gardner,7,LF,NYY,CLE,CLE201906090,Dan Bellino,David Rackley,Sean Barber,Larry Vanover,A,No Precipitation,Cloudy,Progressive Field,80,from Left to Right,16,(R),1
Scott Kingery,7,SS,PHI,STL,SLN201805170,David Rackley,Larry Vanover,Hunter Wendelstedt,Ramon De Jesus,A,No Precipitation,Overcast,Busch Stadium III,81,from Right to Left,10,(R),0
Dominic Smith,7,1B,NYM,BOS,BOS201809150,Bill Miller,Angel Hernandez,Todd Tichenor,Chad Whitson,A,No Precipitation,Cloudy,Fenway Park,72,in from Rightfield,9,(R),0
Joc Pederson,NA,PH,LAD,SFG,LAN201808150,Ryan Additon,Cory Blaser,Eric Cooper,Stu Scheurwater,H,No Precipitation,Night,Dodger Stadium,77,from Left to Right,6,(L),0
Ty France,6,2B,SDP,PHI,PHI201908180,Marvin Hudson,Adrian Johnson,Gary Cederstrom,Tom Woodring,A,No Precipitation,Cloudy,Citizens Bank Park,90,out to Centerfield,3,(L),0
Jonathan Schoop,9,2B,MIN,BOS,MIN201906180,Jim Reynolds,Stu Scheurwater,Mark Wegner,Jeremie Rehak,H,No Precipitation,Cloudy,Target Field,75,from Left to Right,5,(R),0
George Kontos,NA,P,PIT,STL,PIT201804280,Ed Hickox,John Tumpane,Jerry Meals,Gabe Morales,H,No Precipitation,Cloudy,PNC Park,42,out to Centerfield,15,(R),0
Jose Ramirez,3,3B,CLE,MIN,CLE201806170,Ryan Blakney,Sam Holbrook,Jim Wolf,DJ Reyburn,H,No Precipitation,Sunny,Progressive Field,88,out to Rightfield,7,(R),0
Jesse Chavez,NA,P,CHC,ARI,CHN201807260,Mark Carlson,Bruce Dreckman,Chad Fairchild,Mike Estabrook,H,No Precipitation,Cloudy,Wrigley Field,78,from Left to Right,12,(R),0
